Measure,State,Year,Value
Bridges,Maryland,2018,"5,357"
Bridges,Maryland,2019,"5,402"
Bridges,Maryland,2020,"5,430"
Bridges,Maryland,2021,"5,446"
Bridges,Maryland,2022,"5,456"
Bridges,Maryland,2023,"5,473"
Bridges,Maryland,2024,"5,484"
Bridges,Maryland,2025,"5,500"
Bridges,Massachusetts,2010,"5,113"
Bridges,Massachusetts,2015,"5,167"
Bridges,Massachusetts,2016,"5,171"
Bridges,Massachusetts,2017,"5,192"
Bridges,Massachusetts,2018,"5,215"
Bridges,Massachusetts,2019,"5,233"
Bridges,Massachusetts,2020,"5,229"
Bridges,Massachusetts,2021,"5,245"
Bridges,Massachusetts,2022,"5,252"
Bridges,Massachusetts,2023,"5,281"
Bridges,Massachusetts,2024,"5,296"
Bridges,Massachusetts,2025,"5,311"
Bridges,Michigan,2010,"10,928"
Bridges,Michigan,2015,"11,086"
Bridges,Michigan,2016,"11,156"
Bridges,Michigan,2017,"11,180"
Bridges,Michigan,2018,"11,228"
Bridges,Michigan,2019,"11,244"
Bridges,Michigan,2020,"11,271"
Bridges,Michigan,2021,"11,284"
Bridges,Michigan,2022,"11,314"
Bridges,Michigan,2023,"11,341"
Bridges,Michigan,2024,"11,371"
Bridges,Michigan,2025,"11,397"
Bridges,Minnesota,2010,"13,108"
Bridges,Minnesota,2015,"13,301"
Bridges,Minnesota,2016,"13,355"
Bridges,Minnesota,2017,"13,329"
Bridges,Minnesota,2018,"13,358"
Bridges,Minnesota,2019,"13,346"
Bridges,Minnesota,2020,"13,471"
Bridges,Minnesota,2021,"13,496"
Bridges,Minnesota,2022,"13,497"
Bridges,Minnesota,2023,"13,502"
Bridges,Minnesota,2024,"13,532"
Bridges,Minnesota,2025,"13,551"
Bridges,Mississippi,2010,"17,065"
Bridges,Mississippi,2015,"17,057"
Bridges,Mississippi,2016,"17,068"
Bridges,Mississippi,2017,"17,072"
Bridges,Mississippi,2018,"17,071"
Bridges,Mississippi,2019,"17,019"
Bridges,Mississippi,2020,"16,878"
Bridges,Mississippi,2021,"16,788"
Bridges,Mississippi,2022,"16,782"
Bridges,Mississippi,2023,"16,756"
Bridges,Mississippi,2024,"16,739"
Bridges,Mississippi,2025,"16,711"
Bridges,Missouri,2010,"24,245"
Bridges,Missouri,2015,"24,398"
Bridges,Missouri,2016,"24,468"
Bridges,Missouri,2017,"24,487"
Bridges,Missouri,2018,"24,512"
Bridges,Missouri,2019,"24,494"
Bridges,Missouri,2020,"24,538"
Bridges,Missouri,2021,"24,590"
Bridges,Missouri,2022,"24,569"
Bridges,Missouri,2023,"24,617"
Bridges,Missouri,2024,"24,618"
Bridges,Missouri,2025,"24,647"
Bridges,Montana,2010,"5,119"
Bridges,Montana,2015,"5,243"
Bridges,Montana,2016,"5,276"
Bridges,Montana,2017,"5,302"
Bridges,Montana,2018,"5,265"
Bridges,Montana,2019,"5,278"
Bridges,Montana,2020,"5,271"
Bridges,Montana,2021,"5,266"
Bridges,Montana,2022,"5,278"
Bridges,Montana,2023,"5,218"
Bridges,Montana,2024,"5,224"
Bridges,Montana,2025,"5,235"
Bridges,Nebraska,2010,"15,376"
Bridges,Nebraska,2015,"15,341"
Bridges,Nebraska,2016,"15,334"
Bridges,Nebraska,2017,"15,330"
Bridges,Nebraska,2018,"15,349"
Bridges,Nebraska,2019,"15,332"
Bridges,Nebraska,2020,"15,348"
Bridges,Nebraska,2021,"15,348"
Bridges,Nebraska,2022,"15,336"
Bridges,Nebraska,2023,"15,348"
Bridges,Nebraska,2024,"15,398"
Bridges,Nebraska,2025,"15,412"
Bridges,Nevada,2010,"1,753"
Bridges,Nevada,2015,"1,919"
Bridges,Nevada,2016,"1,933"
Bridges,Nevada,2017,"1,944"
Bridges,Nevada,2018,"1,979"
Bridges,Nevada,2019,"2,029"
Bridges,Nevada,2020,"2,056"
Bridges,Nevada,2021,"2,067"
Bridges,Nevada,2022,"2,071"
Bridges,Nevada,2023,"2,090"
Bridges,Nevada,2024,"2,099"
Bridges,Nevada,2025,"2,123"
Bridges,New Hampshire,2010,"2,409"
Bridges,New Hampshire,2015,"2,470"
Bridges,New Hampshire,2016,"2,486"
Bridges,New Hampshire,2017,"2,479"
Bridges,New Hampshire,2018,"2,494"
Bridges,New Hampshire,2019,"2,502"
Bridges,New Hampshire,2020,"2,514"
Bridges,New Hampshire,2021,"2,527"
Bridges,New Hampshire,2022,"2,531"
Bridges,New Hampshire,2023,"2,537"
Bridges,New Hampshire,2024,"2,542"
Bridges,New Hampshire,2025,"2,549"
Bridges,New Jersey,2010,"6,520"
Bridges,New Jersey,2015,"6,686"
Bridges,New Jersey,2016,"6,730"
Bridges,New Jersey,2017,"6,737"
Bridges,New Jersey,2018,"6,746"
Bridges,New Jersey,2019,"6,786"
Bridges,New Jersey,2020,"6,801"
Bridges,New Jersey,2021,"6,798"
Bridges,New Jersey,2022,"6,805"
Bridges,New Jersey,2023,"6,820"
Bridges,New Jersey,2024,"6,827"
Bridges,New Jersey,2025,"6,825"
Bridges,New Mexico,2010,"3,903"
Bridges,New Mexico,2015,"3,960"
Bridges,New Mexico,2016,"3,973"
Bridges,New Mexico,2017,"3,999"
Bridges,New Mexico,2018,"4,010"
Bridges,New Mexico,2019,"4,014"
Bridges,New Mexico,2020,"4,024"
Bridges,New Mexico,2021,"4,025"
Bridges,New Mexico,2022,"4,033"
Bridges,New Mexico,2023,"4,037"
Bridges,New Mexico,2024,"4,035"
Bridges,New Mexico,2025,"4,033"
Bridges,New York,2010,"17,365"
Bridges,New York,2015,"17,461"
Bridges,New York,2016,"17,462"
Bridges,New York,2017,"17,456"
Bridges,New York,2018,"17,521"
Bridges,New York,2019,"17,540"
Bridges,New York,2020,"17,552"
Bridges,New York,2021,"17,555"
Bridges,New York,2022,"17,557"
Bridges,New York,2023,"17,573"
Bridges,New York,2024,"17,642"
Bridges,New York,2025,"17,666"
Bridges,North Carolina,2010,"18,099"
Bridges,North Carolina,2015,"18,124"
Bridges,North Carolina,2016,"18,099"
Bridges,North Carolina,2017,"18,183"
Bridges,North Carolina,2018,"18,377"
Bridges,North Carolina,2019,"18,407"
Bridges,North Carolina,2020,"18,749"
Bridges,North Carolina,2021,"18,877"
Bridges,North Carolina,2022,"18,822"
Bridges,North Carolina,2023,"18,817"
Bridges,North Carolina,2024,"19,210"
Bridges,North Carolina,2025,"19,343"
Bridges,North Dakota,2010,"4,418"
Bridges,North Dakota,2015,"4,401"
Bridges,North Dakota,2016,"4,400"
Bridges,North Dakota,2017,"4,377"
Bridges,North Dakota,2018,"4,355"
Bridges,North Dakota,2019,"4,329"
Bridges,North Dakota,2020,"4,312"
Bridges,North Dakota,2021,"4,285"
Bridges,North Dakota,2022,"4,281"
Bridges,North Dakota,2023,"4,280"
Bridges,North Dakota,2024,"4,255"
Bridges,North Dakota,2025,"4,250"
Bridges,Ohio,2010,"28,033"
Bridges,Ohio,2015,"27,104"
Bridges,Ohio,2016,"28,284"
Bridges,Ohio,2017,"27,345"
Bridges,Ohio,2018,"27,277"
Bridges,Ohio,2019,"27,167"
Bridges,Ohio,2020,"27,072"
Bridges,Ohio,2021,"27,151"
Bridges,Ohio,2022,"27,003"
Bridges,Ohio,2023,"26,960"
Bridges,Ohio,2024,"26,729"
Bridges,Ohio,2025,"26,713"
Bridges,Oklahoma,2010,"23,692"
Bridges,Oklahoma,2015,"23,049"
Bridges,Oklahoma,2016,"23,053"
Bridges,Oklahoma,2017,"23,071"
Bridges,Oklahoma,2018,"23,116"
Bridges,Oklahoma,2019,"23,138"
Bridges,Oklahoma,2020,"23,155"
Bridges,Oklahoma,2021,"23,220"
Bridges,Oklahoma,2022,"23,197"
Bridges,Oklahoma,2023,"22,872"
Bridges,Oklahoma,2024,"22,917"
Bridges,Oklahoma,2025,"22,926"
Bridges,Oregon,2010,"7,255"
Bridges,Oregon,2015,"8,037"
Bridges,Oregon,2016,"8,118"
Bridges,Oregon,2017,"8,147"
Bridges,Oregon,2018,"8,161"
Bridges,Oregon,2019,"8,211"
Bridges,Oregon,2020,"8,214"
Bridges,Oregon,2021,"8,235"
Bridges,Oregon,2022,"8,255"
Bridges,Oregon,2023,"8,292"
Bridges,Oregon,2024,"8,305"
Bridges,Oregon,2025,"8,329"
Bridges,Pennsylvania,2010,"22,362"
Bridges,Pennsylvania,2015,"22,783"
Bridges,Pennsylvania,2016,"22,791"
Bridges,Pennsylvania,2017,"22,779"
Bridges,Pennsylvania,2018,"22,737"
Bridges,Pennsylvania,2019,"22,911"
Bridges,Pennsylvania,2020,"22,965"
Bridges,Pennsylvania,2021,"23,166"
Bridges,Pennsylvania,2022,"23,202"
Bridges,Pennsylvania,2023,"23,257"
Bridges,Pennsylvania,2024,"23,299"
Bridges,Pennsylvania,2025,"23,314"
Bridges,Rhode Island,2010,757
Bridges,Rhode Island,2015,766
Bridges,Rhode Island,2016,772
Bridges,Rhode Island,2017,778
Bridges,Rhode Island,2018,780
Bridges,Rhode Island,2019,779
Bridges,Rhode Island,2020,777
Bridges,Rhode Island,2021,779
Bridges,Rhode Island,2022,784
Bridges,Rhode Island,2023,782
Bridges,Rhode Island,2024,783
Bridges,Rhode Island,2025,787
Bridges,South Carolina,2010,"9,252"
Bridges,South Carolina,2015,"9,344"
Bridges,South Carolina,2016,"9,358"
Bridges,South Carolina,2017,"9,341"
Bridges,South Carolina,2018,"9,401"
Bridges,South Carolina,2019,"9,419"
Bridges,South Carolina,2020,"9,455"
Bridges,South Carolina,2021,"9,395"
Bridges,South Carolina,2022,"9,427"
Bridges,South Carolina,2023,"9,481"
Bridges,South Carolina,2024,"9,490"
Bridges,South Carolina,2025,"9,504"
Bridges,South Dakota,2010,"5,891"
Bridges,South Dakota,2015,"5,866"
Bridges,South Dakota,2016,"5,849"
Bridges,South Dakota,2017,"5,818"
Bridges,South Dakota,2018,"5,824"
Bridges,South Dakota,2019,"5,821"
Bridges,South Dakota,2020,"5,880"
Bridges,South Dakota,2021,"5,886"
Bridges,South Dakota,2022,"5,897"
Bridges,South Dakota,2023,"5,889"
Bridges,South Dakota,2024,"5,887"
Bridges,South Dakota,2025,"5,883"
Bridges,Tennessee,2010,"19,892"
Bridges,Tennessee,2015,"20,106"
Bridges,Tennessee,2016,"20,123"
Bridges,Tennessee,2017,"20,169"
Bridges,Tennessee,2018,"20,177"
Bridges,Tennessee,2019,"20,226"
Bridges,Tennessee,2020,"20,235"
Bridges,Tennessee,2021,"20,331"
Bridges,Tennessee,2022,"20,377"
Bridges,Tennessee,2023,"20,373"
Bridges,Tennessee,2024,"20,379"
Bridges,Tennessee,2025,"20,374"
Bridges,Texas,2010,"51,454"
Bridges,Texas,2015,"53,209"
Bridges,Texas,2016,"53,488"
Bridges,Texas,2017,"53,869"
Bridges,Texas,2018,"54,131"
Bridges,Texas,2019,"54,432"
Bridges,Texas,2020,"54,682"
Bridges,Texas,2021,"55,175"
Bridges,Texas,2022,"55,701"
Bridges,Texas,2023,"56,313"
Bridges,Texas,2024,"56,729"
Bridges,Texas,2025,"56,951"
Bridges,Utah,2010,"2,911"
Bridges,Utah,2015,"3,019"
Bridges,Utah,2016,"3,039"
Bridges,Utah,2017,"3,051"
Bridges,Utah,2018,"3,061"
Bridges,Utah,2019,"3,063"
Bridges,Utah,2020,"3,062"
Bridges,Utah,2021,"3,056"
Bridges,Utah,2022,"3,080"
Bridges,Utah,2023,"3,109"
Bridges,Utah,2024,"3,125"
Bridges,Utah,2025,"3,144"
Bridges,Vermont,2010,"2,712"
Bridges,Vermont,2015,"2,749"
Bridges,Vermont,2016,"2,766"
Bridges,Vermont,2017,"2,772"
Bridges,Vermont,2018,"2,778"
Bridges,Vermont,2019,"2,818"
Bridges,Vermont,2020,"2,827"
Bridges,Vermont,2021,"2,836"
Bridges,Vermont,2022,"2,846"
Bridges,Vermont,2023,"2,856"
Bridges,Vermont,2024,"2,862"
Bridges,Vermont,2025,"2,866"
Bridges,Virginia,2010,"13,522"
Bridges,Virginia,2015,"13,884"
Bridges,Virginia,2016,"13,892"
Bridges,Virginia,2017,"13,932"
Bridges,Virginia,2018,"13,931"
Bridges,Virginia,2019,"13,933"
Bridges,Virginia,2020,"13,963"
Bridges,Virginia,2021,"13,997"
Bridges,Virginia,2022,"14,042"
Bridges,Virginia,2023,"14,068"
Bridges,Virginia,2024,"14,121"
Bridges,Virginia,2025,"14,143"
Bridges,Washington,2010,"7,755"
Bridges,Washington,2015,"8,158"
Bridges,Washington,2016,"8,178"
Bridges,Washington,2017,"8,233"
Bridges,Washington,2018,"8,278"
Bridges,Washington,2019,"8,300"
Bridges,Washington,2020,"8,338"
Bridges,Washington,2021,"8,358"
Bridges,Washington,2022,"8,388"
Bridges,Washington,2023,"8,421"
Bridges,Washington,2024,"8,474"
Bridges,Washington,2025,"8,520"
Bridges,West Virginia,2010,"7,069"
Bridges,West Virginia,2015,"7,215"
Bridges,West Virginia,2016,"7,217"
Bridges,West Virginia,2017,"7,228"
Bridges,West Virginia,2018,"7,269"
Bridges,West Virginia,2019,"7,291"
Bridges,West Virginia,2020,"7,295"
Bridges,West Virginia,2021,"7,314"
Bridges,West Virginia,2022,"7,317"
Bridges,West Virginia,2023,"7,323"
Bridges,West Virginia,2024,"7,348"
Bridges,West Virginia,2025,"7,345"
Bridges,Wisconsin,2010,"13,982"
Bridges,Wisconsin,2015,"14,134"
Bridges,Wisconsin,2016,"14,230"
Bridges,Wisconsin,2017,"14,253"
Bridges,Wisconsin,2018,"14,275"
Bridges,Wisconsin,2019,"14,249"
Bridges,Wisconsin,2020,"14,271"
Bridges,Wisconsin,2021,"14,307"
Bridges,Wisconsin,2022,"14,336"
Bridges,Wisconsin,2023,"14,412"
Bridges,Wisconsin,2024,"14,446"
Bridges,Wisconsin,2025,"14,498"
Bridges,Wyoming,2010,"3,060"
Bridges,Wyoming,2015,"3,085"
Bridges,Wyoming,2016,"3,128"
Bridges,Wyoming,2017,"3,127"
Bridges,Wyoming,2018,"3,129"
Bridges,Wyoming,2019,"3,114"
Bridges,Wyoming,2020,"3,122"
Bridges,Wyoming,2021,"3,114"
Bridges,Wyoming,2022,"3,121"
Bridges,Wyoming,2023,"3,131"
Bridges,Wyoming,2024,"3,136"
Bridges,Wyoming,2025,"3,138"
Bridges,Guam,2018,10
Bridges,Guam,2019,10
Bridges,Guam,2020,10
Bridges,Guam,2021,10
Bridges,Guam,2022,57
Bridges,Guam,2023,47
Bridges,Guam,2024,47
Bridges,Puerto Rico,2010,"2,201"
Bridges,Puerto Rico,2015,"2,306"
Bridges,Puerto Rico,2016,"2,308"
Bridges,Puerto Rico,2017,"2,325"
Bridges,Puerto Rico,2018,"2,325"
Bridges,Puerto Rico,2019,"2,315"
Bridges,Puerto Rico,2020,"2,334"
Bridges,Puerto Rico,2021,"2,334"
Bridges,Puerto Rico,2022,"2,335"
Bridges,Puerto Rico,2023,"2,335"
Bridges,Puerto Rico,2024,"2,385"
Bridges,Puerto Rico,2025,"2,434"
Bridges,U.S. Virgin Islands,2019,24
Bridges,U.S. Virgin Islands,2020,24
Bridges,U.S. Virgin Islands,2021,24
Bridges,U.S. Virgin Islands,2022,24
Bridges,U.S. Virgin Islands,2023,24
Bridges,U.S. Virgin Islands,2024,24
Bridges,U.S. Virgin Islands,2025,24
